repositório,url,arquivo,file_exists,clone_error,k6-performance/no-heavy-init-context,k6-performance/no-heavy-init-context_loc,k6-performance/require-check,k6-performance/require-check_loc,k6-performance/require-tags,k6-performance/require-tags_loc,k6-performance/require-thresholds,k6-performance/require-thresholds_loc
HariSekhon/Templates,https://github.com/HariSekhon/Templates,k6.js,yes,,0,,1,49:1,0,,1,22:14
grafana/setup-k6-action,https://github.com/grafana/setup-k6-action,src/k6.ts,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-grpc.js,yes,,0,,0,,0,,1,7:12
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-rest-100tps.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-grpc-20tps.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-grpc-ramp.js,yes,,0,,0,,0,,0,
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-rest-30tps.js,yes,,0,,0,,0,,0,
urykhy/stuff,https://github.com/urykhy/stuff,grpc/k6.js,yes,,0,,0,,0,,1,8:14
grafana/k6-jslib-aws,https://github.com/grafana/k6-jslib-aws,build.mjs,yes,,0,,0,,0,,0,
shamir92/project-sprint-team-happy,https://github.com/shamir92/project-sprint-team-happy,w3-tools/k6/script.js,yes,,0,,0,,0,,1,55:14
go-sigma/sigma,https://github.com/go-sigma/sigma,e2e/sc.js,yes,,0,,0,,4,14:18; 23:14; 34:14; 46:14,1,4:14
adko99/loadtesting,https://github.com/adko99/loadtesting,task2.js,yes,,0,,0,,2,26:15; 36:31,1,4:12
dunghcmut/BEne,https://github.com/dunghcmut/BEne,loadtest.js,yes,,0,,0,,2,37:17; 41:22,0,
m8/cpp_rest,https://github.com/m8/cpp_rest,bench.js,yes,,0,,0,,5,11:32; 12:33; 13:35; 14:38; 15:37,1,4:12
tais-santos-silva/k6,https://github.com/tais-santos-silva/k6,aula15.js,yes,,0,,0,,0,,0,
tais-santos-silva/k6,https://github.com/tais-santos-silva/k6,aula10.js,yes,,0,,0,,0,,0,
